side,file_path,has_no_body,extern_c,source,line_count,line_range
C,E:\rust_projects\c\dotlottie-rs\dotlottie-ffi\bindings.h,True,False,"int32_t dotlottie_set_theme(struct DotLottiePlayer *ptr, const char *theme_id);",1,"(324, 324)"
Rust,E:\rust_projects\c\dotlottie-rs\dotlottie-ffi\src\ffi\mod.rs,False,True,"pub unsafe extern ""C"" fn dotlottie_set_theme(
    ptr: *mut DotLottiePlayer,
    theme_id: *const c_char,
) -> i32 {
    exec_dotlottie_player_op(ptr, |dotlottie_player| {
        if let Ok(theme_id) = DotLottieString::read(theme_id) {
            to_exit_status(dotlottie_player.set_theme(&theme_id))
        } else {
            DOTLOTTIE_INVALID_PARAMETER
        }
    })
}",12,"(421, 432)"
