side,file_path,has_no_body,extern_c,source,line_count,line_range
C,E:\rust_projects\c\dotlottie-rs\dotlottie-ffi\bindings.h,True,False,"int32_t dotlottie_state_machine_post_event(struct DotLottiePlayer *ptr,
                                           const struct DotLottieEvent *event);",2,"(347, 348)"
Rust,E:\rust_projects\c\dotlottie-rs\dotlottie-ffi\src\ffi\mod.rs,False,True,"pub unsafe extern ""C"" fn dotlottie_state_machine_post_event(
    ptr: *mut DotLottiePlayer,
    event: *const DotLottieEvent,
) -> i32 {
    exec_dotlottie_player_op(ptr, |dotlottie_player| {
        if let Some(event) = event.as_ref() {
            dotlottie_player.state_machine_post_event(&event.to_event())
        } else {
            DOTLOTTIE_ERROR
        }
    })
}",12,"(197, 208)"
