side,file_path,has_no_body,extern_c,source,line_count,line_range
C,E:\rust_projects\c\dotlottie-rs\dotlottie-ffi\bindings.h,True,False,int32_t dotlottie_play(struct DotLottiePlayer *ptr);,1,"(308, 308)"
C,E:\rust_projects\c\dotlottie-rs\examples\demo-player-c\main.c,True,False,ret = dotlottie_play(player);,1,"(118, 118)"
C,E:\rust_projects\c\dotlottie-rs\examples\skia-demo-player-cpp\main.cpp,True,True,ret = dotlottie_play(player);,1,"(139, 139)"
Rust,E:\rust_projects\c\dotlottie-rs\dotlottie-ffi\src\ffi\mod.rs,False,True,"pub unsafe extern ""C"" fn dotlottie_play(ptr: *mut DotLottiePlayer) -> i32 {
    exec_dotlottie_player_op(ptr, |dotlottie_player| {
        to_exit_status(dotlottie_player.play())
    })
}",5,"(330, 334)"
