side,file_path,has_no_body,extern_c,source,line_count,line_range
C,E:\rust_projects\c\dotlottie-rs\dotlottie-ffi\bindings.h,True,False,int32_t dotlottie_destroy(struct DotLottiePlayer *ptr);,1,"(243, 243)"
Rust,E:\rust_projects\c\dotlottie-rs\dotlottie-ffi\src\ffi\mod.rs,False,True,"pub unsafe extern ""C"" fn dotlottie_destroy(ptr: *mut DotLottiePlayer) -> i32 {
    exec_dotlottie_player_op(ptr, |dotlottie_player| {
        std::mem::drop(std::ptr::read(dotlottie_player));
        DOTLOTTIE_SUCCESS
    })
}",6,"(45, 50)"
