side,file_path,has_no_body,extern_c,source,line_count,line_range
C,E:\rust_projects\c\delta-kernel-rs\ffi\examples\read-table\read_table.c,True,False,free_string_slice_data(part_iter);,1,"(150, 150)"
Rust,E:\rust_projects\c\delta-kernel-rs\ffi\src\lib.rs,False,True,"pub unsafe extern ""C"" fn free_string_slice_data(data: Handle<StringSliceIterator>) {
    data.drop_handle();
}",3,"(720, 722)"
