side,file_path,has_no_body,extern_c,source,line_count,line_range
C,E:\rust_projects\c\delta-kernel-rs\ffi\examples\read-table\read_table.c,True,False,free_global_scan_state(global_state);,1,"(338, 338)"
Rust,E:\rust_projects\c\delta-kernel-rs\ffi\src\scan.rs,False,True,"pub unsafe extern ""C"" fn free_global_scan_state(state: Handle<SharedGlobalScanState>) {
    state.drop_handle();
}",3,"(166, 168)"
