side,file_path,has_no_body,extern_c,source,line_count,line_range
C,E:\rust_projects\c\delta-kernel-rs\ffi\examples\visit-expression\expression.h,True,False,"uintptr_t top_level_id = visit_expression(&expression, &visitor);",1,"(381, 381)"
Rust,E:\rust_projects\c\delta-kernel-rs\ffi\src\expressions\engine_visitor.rs,False,True,"pub unsafe extern ""C"" fn visit_expression(
    expression: &Handle<SharedExpression>,
    visitor: &mut EngineExpressionVisitor,
) -> usize {
    visit_expression_internal(expression.as_ref(), visitor)
}",6,"(190, 195)"
