side,file_path,has_no_body,extern_c,source,line_count,line_range
C,E:\rust_projects\c\delta-kernel-rs\ffi\examples\read-table\read_table.c,True,False,StringSliceIterator* part_iter = get_partition_columns(snapshot);,1,"(130, 130)"
Rust,E:\rust_projects\c\delta-kernel-rs\ffi\src\lib.rs,False,True,"pub unsafe extern ""C"" fn get_partition_columns(
    snapshot: Handle<SharedSnapshot>,
) -> Handle<StringSliceIterator> {
    let snapshot = unsafe { snapshot.as_ref() };
    let iter: Box<StringIter> =
        Box::new(snapshot.metadata().partition_columns().clone().into_iter());
    iter.into()
}",8,"(672, 679)"
