side,file_path,has_no_body,extern_c,source,line_count,line_range
C,E:\rust_projects\c\blazesym\capi\include\blazesym.h,True,True,blaze_normalizer *blaze_normalizer_new(void);,1,"(1167, 1167)"
Rust,E:\rust_projects\c\blazesym\capi\src\normalize.rs,False,True,"pub extern ""C"" fn blaze_normalizer_new() -> *mut blaze_normalizer {
    let normalizer = Normalizer::new();
    let normalizer_box = Box::new(normalizer);
    let () = set_last_err(blaze_err::OK);
    Box::into_raw(normalizer_box)
}",6,"(180, 185)"
